,Pressure Height FT,,,,,,,,,,,,,
OAT Degrees Celcius,,-10,-5,0,5,10,15,20,25,30,35,40,45,50
,10000,2020,2070,2110,2140,2180,2220,2275,2300,2345,2385,2420,2475,2500
,8000,1875,1910,1950,1980,2020,2060,2100,2130,2180,2210,2250,2285,2320
,6000,1740,1775,1810,1840,1875,1910,1945,1980,2010,2045,2085,2120,2160
,4000,1620,1650,1690,1710,1745,1780,1810,1840,1880,1900,1930,1975,1990
,2000,1500,1530,1560,1590,1620,1645,1680,1700,1730,1770,1795,1820,1860
,0,1410,1425,1445,1470,1495,1515,1550,1580,1600,1625,1660,1695,1720
