12500,12000,11500,11000,10500,10000,9500,9000
2565,2450,2350,2250,2160,2060,1990,1910
2190,2120,2040,1960,1890,1810,1745,1650
1875,1800,1735,1670,1600,1530,1470,1400
1520,1475,1420,1375,1310,1265,1200,1145
1155,1120,1090,1045,1000,980,935,900
